Pop Cabatoan Elementary_School Gabas Haina Hicgop_South N.Magbangon Palanas Poroc_Rose Poroc_San_Flower San_Agustin Sitio_Baybayon Tamakin_Dacot Visca Wangag Ghost
1 0.0001 0.0016 0.0001 0.0016 0.0005 0.0745 0.0710 0.0001 0.0002 0.0016 0.0016 0.0001 0.0016 0.1126 0.7328
2 0.0001 0.0016 0.0001 0.0016 0.0016 0.0016 0.0016 0.0001 0.0016 0.0016 0.0016 0.0016 0.0016 0.0016 0.9821
3 0.0001 0.0016 0.0001 0.0016 0.0001 0.0007 0.0016 0.0001 0.0016 0.0016 0.0016 0.0001 0.0016 0.0010 0.9866
4 0.0001 0.0001 0.0016 0.0001 0.0016 0.0001 0.0016 0.0001 0.0016 0.0016 0.2840 0.0016 0.0000 0.0001 0.7058
5 0.0001 0.0001 0.0016 0.0001 0.0001 0.0001 0.0001 0.0001 0.0016 0.0001 0.0001 0.0016 0.0001 0.0016 0.9926
6 0.0016 0.0016 0.0016 0.0016 0.0016 0.1178 0.0016 0.0993 0.0016 0.0016 0.0016 0.0016 0.0016 0.0016 0.7637
7 0.0001 0.0016 0.0016 0.0016 0.0016 0.1843 0.0993 0.0001 0.0016 0.0016 0.0016 0.0002 0.0016 0.0016 0.7016
8 0.0001 0.0001 0.0016 0.0001 0.0001 0.5937 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0016 0.4020
9 0.0016 0.0016 0.0016 0.0016 0.0016 0.0016 0.0016 0.0001 0.0001 0.0016 0.0016 0.0016 0.0016 0.0016 0.9806
10 0.0001 0.0001 0.0001 0.0016 0.0001 0.0001 0.0001 0.0001 0.0001 0.9792 0.0001 0.0001 0.0001 0.0001 0.0180
11 0.0355 0.0016 0.0016 0.0016 0.0001 0.0016 0.0016 0.0001 0.0016 0.0016 0.0001 0.0016 0.0016 0.0016 0.9482
12 0.0001 0.0016 0.0001 0.0016 0.0016 0.0016 0.0001 0.0017 0.0016 0.0016 0.0016 0.0001 0.0001 0.0016 0.9850
13 0.0016 0.0016 0.0016 0.0016 0.0016 0.0016 0.0016 0.0017 0.0016 0.0016 0.0016 0.0016 0.0001 0.0016 0.9790
14 0.0001 0.0769 0.0001 0.0016 0.0001 0.0016 0.0001 0.0001 0.0016 0.0016 0.0700 0.0001 0.0816 0.2613 0.5032
