Pop Pop1 Pop2 Pop3 Pop4 Pop5 Pop6 Pop7 Pop8 Ghost
1 0.9986 0.0001 0.0001 0.0001 0.0002 0.0001 0.0001 0.0001 0.0006
2 0.0000 0.0000 0.0002 0.9999 0.0002 0.0002 0.0002 0.0002 0.0000
3 0.0001 0.0001 0.9999 0.0003 0.0000 0.0002 0.0002 0.0002 0.0000
4 0.0002 0.0000 0.0001 0.0001 0.0002 0.9999 0.0000 0.0001 0.0000
5 0.0001 0.1031 0.0001 0.0001 0.0001 0.0002 0.0002 0.0003 0.8958
6 0.0002 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.9991
7 0.0002 0.0001 0.0001 0.0001 0.0001 0.0001 0.9986 0.0002 0.0005
8 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.9986 0.0006
