 Pop    Pop1    Pop2    Pop3    Pop4    Pop5    Pop6    Pop7    Pop8    Pop9   Pop10   Pop11   Pop12   Pop13   Pop14   Ghost
    1  0.0002  0.0002  0.0002  0.0002  0.0002  0.0002  0.0001  0.0714  0.0002  0.0002  0.0002  0.0002  0.0001  0.0001  0.9263
    2  0.0004  0.9974  0.0002  0.0002  0.0001  0.0001  0.0001  0.0002  0.0002  0.0003  0.0002  0.0002  0.0001  0.0003  0.0000
    3  0.0003  0.0001  0.9974  0.0002  0.0002  0.0002  0.0001  0.0001  0.0000  0.0001  0.0002  0.0001  0.0001  0.0002  0.0007
    4  0.0002  0.0001  0.0002  0.9974  0.0002  0.0001  0.0001  0.0001  0.0001  0.0001  0.0002  0.0001  0.0001  0.0001  0.0009
    5  0.0001  0.0001  0.0002  0.0002  0.9974  0.0002  0.0001  0.0001  0.0001  0.0002  0.0002  0.0001  0.0001  0.0002  0.0007
    6  0.0002  0.0001  0.0002  0.0001  0.0002  0.0001  0.0002  0.0433  0.0608  0.0002  0.0002  0.0003  0.0001  0.0002  0.8938
    7  0.0003  0.0002  0.0002  0.0002  0.0001  0.0002  0.0002  0.0002  0.2287  0.0002  0.0002  0.0002  0.0001  0.0002  0.7688
    8  0.0002  0.0002  0.0002  0.0002  0.0002  0.0002  0.0003  0.0001  0.0002  0.0002  0.0002  0.0002  0.0002  0.0002  0.9972
    9  0.0002  0.0002  0.0002  0.0002  0.0001  0.0002  0.0001  0.0002  0.0002  0.0002  0.0002  0.0002  0.0001  0.0002  0.9975
   10  0.0001  0.0002  0.0002  0.0001  0.0002  0.0001  0.0001  0.0001  0.0001  0.9974  0.0002  0.0001  0.0001  0.0001  0.0009
   11  0.0003  0.0003  0.0002  0.0002  0.0002  0.0001  0.0001  0.0000  0.0001  0.0002  0.0001  0.0170  0.0713  0.0002  0.9097
   12  0.0002  0.0002  0.0002  0.0001  0.0002  0.0001  0.0002  0.0001  0.0001  0.0001  0.0002  0.0001  0.0001  0.0002  0.9979
   13  0.0001  0.0001  0.0002  0.0002  0.0001  0.0002  0.0001  0.0002  0.0002  0.0002  0.0002  0.0001  0.0002  0.0002  0.9977
   14  0.0001  0.0002  0.0002  0.0002  0.0002  0.0000  0.7471  0.0001  0.0244  0.0002  0.0002  0.0002  0.0109  0.0001  0.2159
