PopI     CI_L(J=1)     CI_U(J=1)     CI_L(J=2)     CI_U(J=2)     CI_L(J=3)     CI_U(J=3)     CI_L(J=4)     CI_U(J=4)     CI_L(J=5)     CI_U(J=5)     CI_L(J=6)     CI_U(J=6)     CI_L(J=7)     CI_U(J=7)     CI_L(J=8)     CI_U(J=8)     CI_L(J=9)     CI_U(J=9)    CI_L(J=10)    CI_U(J=10)    CI_L(J=11)    CI_U(J=11)    CI_L(J=12)    CI_U(J=12)    CI_L(J=13)    CI_U(J=13)    CI_L(J=14)    CI_U(J=14)
    1        0.0001        0.9950        0.0001        0.5066        0.0001        0.4729        0.0001        0.5172        0.4376        0.9985        0.0001        0.4887        0.0001        0.5163        0.0001        0.5132        0.0001        0.1914        0.0001        0.2545        0.0001        0.6970        0.0001        0.4723        0.0001        0.7142        0.0001        0.8056
    2        0.0001        0.8806        0.0001        0.5706        0.0001        0.5001        0.0001        0.4975        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985
    3        0.0001        0.5107        0.0001        0.4885        0.0001        0.7177        0.0001        0.4993        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985
    4        0.0001        0.6901        0.0001        0.5035        0.0001        0.5308        0.0001        0.3046        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985
    5        0.0001        0.4715        0.0001        0.2914        0.0001        0.1802        0.0001        0.5271        0.2896        0.8372        0.0741        0.5744        0.0001        0.6903        0.0001        0.3086        0.0001        0.6853        0.0001        0.1442        0.1120        0.6377        0.0001        0.6279        0.0001        0.6865        0.0001        0.7350
    6        0.0001        0.4266        0.0001        0.6795        0.0001        0.4695        0.0001        0.8007        0.0001        0.8085        0.4078        0.9985        0.0007        0.5444        0.0001        0.6171        0.0009        0.6971        0.0001        0.2292        0.0001        0.3805        0.0001        0.6901        0.0006        0.6167        0.0006        0.8081
    7        0.0001        0.6884        0.0001        0.3088        0.0001        0.5107        0.0001        0.2277        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.6162        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985
    8        0.0001        0.5454        0.0001        0.5893        0.0001        0.6900        0.0001        0.5099        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.5884        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985
    9        0.0001        0.4551        0.0001        0.5001        0.0001        0.4937        0.0001        0.8084        0.0001        0.9985        0.0001        0.5278        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.4272        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985
   10        0.0001        0.4813        0.0001        0.2034        0.0001        0.5278        0.0001        0.5001        0.0001        0.5109        0.0001        0.4721        0.0001        0.5278        0.0001        0.5001        0.0001        0.4723        0.1037        0.9985        0.0001        0.4698        0.0001        0.6908        0.0001        0.9322        0.0001        0.5899
   11        0.0001        0.5034        0.0001        0.8013        0.0001        0.1933        0.0001        0.2636        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.6900        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985
   12        0.0001        0.5303        0.0001        0.6898        0.0001        0.4420        0.0001        0.5719        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985
   13        0.0001        0.5174        0.0001        0.3111        0.0001        0.5493        0.0065        0.3273        0.0001        0.3086        0.0196        0.5113        0.0001        0.4551        0.0001        0.5277        0.0001        0.4993        0.0022        0.3646        0.0001        0.7072        0.0001        0.9071        0.5126        0.9638        0.0001        0.8081
   14        0.0001        0.6909        0.0001        0.4270        0.0001        0.4723        0.0001        0.5107        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985        0.0001        0.9985
