fish_table_id,anem_table_id,fish_spp,sample_id,recap,tag_id,color,sex,size,fish_obs_time,fish_notes,dive_table_id,anem_obs,anem_obs_time,anem_id,old_anem_id,anem_spp,anem_dia,dive_type,date,site,gps,gen_id,fish_indiv,ligation_id,lat,lon
7683,7385,APCL,APCL16_337,NA,NA,YR,J,3.5,NA,NA,318,1786,12:02:00,2407,NA,HECR,15,C,2016-05-29,N. Magbangon,3,NA,NA,L4402,NA,NA
487,399,APCL,APCL12_236,NA,NA,W,J,3.5,NA,NA,19,NA,11:51:00,NA,NA,HECR,15,E,2012-05-12,San Agustin,1,NA,NA,NA,NA,NA
31,15,APCL,APCL12_019,NA,NA,NA,NA,3.1,NA,NA,3,NA,11:44:00,NA,NA,MADO,NA,E,2012-05-06,Visca,1,NA,NA,NA,NA,NA
2510,2130,APCL,APCL14_245,NA,NA,Y,J,5.5,NA,NA,82,534,15:39:00,524,NA,HECR,15,C,2014-06-18,N. Magbangon,1,NA,NA,NA,NA,NA
6057,6473,APCL,APCL15_049,NA,NA,W,J,3.5,NA,NA,259,152,10:28:00,1040,NA,HECR,30,C,2015-06-02,Wangag,3,NA,NA,NA,NA,NA
1667,1526,APCL,APCL13_611,NA,NA,WP,J,3.4,NA,NA,59,335,11:19:30,335,NA,HECR,20,C,2013-06-04,Wangag,1,NA,NA,L1006,NA,NA
2705,2235,APCL,APCL14_363,NA,NA,WR,J,4.8,NA,NA,89,235,10:16:00,235,NA,HECR,30,C,2014-06-23,Wangag,1,NA,NA,NA,NA,NA
2833,2389,APCL,APCL14_330,NA,NA,YP,F,8.8,NA,NA,91,644,09:32:00,633,NA,HECR,30,C,2014-06-24,Wangag,1,NA,NA,L0606,NA,NA
2833,2389,APCL,APCL14_330,NA,NA,YP,F,8.8,NA,NA,91,644,09:32:00,633,NA,HECR,30,C,2014-06-24,Wangag,1,NA,NA,L3144,NA,NA
965,860,APCL,APCL13_199,NA,NA,W,J,4,NA,NA,36,110,10:31:15,110,NA,HECR,15,C,2013-05-27,Palanas,1,NA,NA,L1170,NA,NA
965,860,APCL,APCL13_199,NA,NA,W,J,4,NA,NA,36,110,10:31:15,110,NA,HECR,15,C,2013-05-27,Palanas,1,NA,NA,L1625,NA,NA
