fish_indiv year size color sex gen_id ligation_id sample_id
762 2012 5.1 Y J 762 NA APCL12_256
2324 2012 4.1 Y J 2324 NA APCL12_275
409 2012 4.5 Y J 409 NA APCL12_276
2323 2012 5.1 W J 2323 NA APCL12_168
2078 2012 4.1 NA NA 2078 NA APCL12_090
92 2012 5.4 NA NA 92 L2212 APCL12_094
267 2012 5.5 Y J 267 L2214 APCL12_102
148 2012 4.8 W J 148 L2216 APCL12_115
199 2012 5.3 NA NA 199 L2218 APCL12_119
121 2012 5.3 W J 121 L2220 APCL12_122
758 2012 5.6 Y J 758 L2226 APCL12_167
193 2012 4.5 NA NA 193 L2270 APCL12_103
115 2012 4.6 W J 115 L2274 APCL12_152
249 2012 4.5 Y J 249 L2276 APCL12_166
227 2012 5.6 W J 227 L2281 APCL12_199
116 2012 4.2 W J 116 L2284 APCL12_206
259 2012 3.8 Y J 259 L2285 APCL12_207
237 2012 5.8 Y J 237 L2288 APCL12_212
891 2012 4.4 Y J 891 L2291 APCL12_217
871 2012 3.8 Y J 871 L2310 APCL12_266
860 2012 5.1 W J 860 L2325 APCL12_282
2287 2012 5 Y J 2287 L2329 APCL12_286
165 2012 4.1 Y J 165 L2346 APCL12_124
225 2012 4.8 NA NA 225 L2361 APCL12_055
2348 2012 3.8 NA NA 2348 L2368 APCL12_112
140 2012 4.9 NA NA 140 L2369 APCL12_126
229 2012 5.5 Y J 229 L2383 APCL12_193
143 2012 5.8 Y J 143 L2384 APCL12_200
888 2012 4 W J 888 L2386 APCL12_214
216 2012 5.7 NA NA 216 L2406 APCL12_039
176 2012 4.8 NA NA 176 L2414 APCL12_061
219 2012 3.7 NA NA 219 L2418 APCL12_072
144 2012 4.6 Y J 144 L2424 APCL12_143
261 2012 5.9 W J 261 L2427 APCL12_169
244 2012 5.6 W J 244 L2429 APCL12_196
139 2012 5 Y J 139 L2430 APCL12_204
2723 2012 4.4 Y J 2723 L2431 APCL12_213
145 2012 5.7 NA NA 145 L2470 APCL12_056
207 2012 3.8 NA NA 207 L2471 APCL12_067
101 2012 3 NA NA 101 L2472 APCL12_068
217 2012 5.7 Y J 217 L2479 APCL12_158
127 2012 4.2 W J 127 L2480 APCL12_162
102 2012 4 W J 102 L2483 APCL12_173
879 2012 3.2 W J 879 L2485 APCL12_219
878 2012 4.6 Y J 878 L2486 APCL12_250
876 2012 4.2 Y J 876 L2487 APCL12_258
169 2012 5.2 NA NA 169 L2552 APCL12_023
100 2012 4.1 NA NA 100 L2555 APCL12_031
243 2012 3.1 NA NA 243 L2562 APCL12_057
2544 2012 3.4 NA NA 2544 L2563 APCL12_063
192 2012 2.9 NA NA 192 L2564 APCL12_076
204 2012 4.6 NA NA 204 L2566 APCL12_136
9 2012 4.4 Y J 9 L2571 APCL12_189
167 2012 4.3 Y J 167 L2574 APCL12_195
715 2012 3.8 Y J 715 L2577 APCL12_149
399 2012 3.5 NA NA 399 L2578 APCL12_178
571 2012 3.1 Y J 571 L2580 APCL12_181
291 2012 5.3 W J 291 L2582 APCL12_187
296 2012 4.1 W J 296 L2583 APCL12_188
154 2012 5.2 Y J 154 L3042 APCL12_203
1009 2012 5.4 NA NA 1009 L3119 APCL12_128
224 2012 5.7 W J 224 L5176 APCL12_205
678 2012 4.3 NA NA 678 L5272 APCL12_123
339 2013 3 YR J 339 L0256 APCL13_221
185 2013 2.5 Y J 185 L0258 APCL13_223
320 2013 4.6 W J 320 L0259 APCL13_224
104 2013 4 YR J 104 L0262 APCL13_227
621 2013 3.4 YR J 621 L0264 APCL13_229
763 2013 3.4 YR J 763 L0265 APCL13_230
514 2013 5.4 W J 514 L0268 APCL13_234
473 2013 4.7 YR J 473 L0270 APCL13_237
651 2013 3.4 YR J 651 L0271 APCL13_238
316 2013 4.2 YR J 316 L0273 APCL13_240
312 2013 3.8 YR J 312 L0278 APCL13_245
714 2013 2.6 YR J 714 L0280 APCL13_247
635 2013 2.6 YR J 635 L0282 APCL13_249
390 2013 4.2 YR J 390 L0283 APCL13_250
568 2013 2.8 BW J 568 L0286 APCL13_253
973 2013 4.7 YP J 973 L0291 APCL13_258
310 2013 4.9 YR J 310 L0293 APCL13_260
344 2013 2.9 YR J 344 L0296 APCL13_263
722 2013 4.2 YR J 722 L0298 APCL13_265
648 2013 4.6 YR J 648 L0301 APCL13_268
798 2013 5 YR J 798 L0307 APCL13_274
967 2013 4.5 YP J 967 L0317 APCL13_285
489 2013 4.2 YR J 489 L0318 APCL13_286
549 2013 5.4 W J 549 L0319 APCL13_287
497 2013 5.5 YR J 497 L0321 APCL13_289
269 2013 3.9 YR J 269 L0323 APCL13_291
377 2013 3 YR J 377 L0324 APCL13_292
623 2013 5.4 YR J 623 L0326 APCL13_294
548 2013 4.2 YR J 548 L0330 APCL13_298
592 2013 3.4 YR J 592 L0331 APCL13_300
492 2013 2.5 W J 492 L0352 APCL13_325
447 2013 5.3 W J 447 L0362 APCL13_341
278 2013 2.5 YR J 278 L0363 APCL13_342
459 2013 5.8 W J 459 L0366 APCL13_346
634 2013 4.4 YR J 634 L0374 APCL13_358
557 2013 5.8 W J 557 L0375 APCL13_359
676 2013 5.7 YR J 676 L0385 APCL13_372
630 2013 5.2 YR J 630 L0387 APCL13_374
519 2013 4 W J 519 L0392 APCL13_380
520 2013 2.8 YR J 520 L0394 APCL13_382
646 2013 3.3 W J 646 L0398 APCL13_388
690 2013 2.4 YR J 690 L0400 APCL13_390
787 2013 4 YR J 787 L0405 APCL13_401
589 2013 4.7 W J 589 L0407 APCL13_406
809 2013 4.6 YR J 809 L0411 APCL13_037
807 2013 3.8 YR J 807 L0414 APCL13_041
178 2013 5 Y J 178 L0436 APCL13_154
693 2013 3 YR J 693 L0476 APCL13_495
894 2013 4.1 Y J 894 L0480 APCL13_019
892 2013 5.1 Y J 892 L0484 APCL13_025
1766 2013 5.3 YP J 1766 L0494 APCL13_552
732 2013 5.7 YR J 732 L0641 APCL13_316
584 2013 4.3 YR J 584 L0643 APCL13_332
482 2013 5.2 W J 482 L0646 APCL13_657
2214 2013 4.5 W J 2214 L0653 APCL13_425
2338 2013 2.7 YR J 2338 L0658 APCL13_485
770 2013 4.2 YR J 770 L0660 APCL13_489
601 2013 2.3 YR J 601 L0661 APCL13_490
708 2013 3.4 YR J 708 L0682 APCL13_600
2367 2013 5.3 YR J 2367 L0683 APCL13_601
1765 2013 5.6 YP J 1765 L0685 APCL13_605
2406 2013 4.9 YR J 2406 L0691 APCL13_626
354 2013 4.7 W J 354 L0692 APCL13_628
439 2013 2.5 YR J 439 L0693 APCL13_633
384 2013 4 W J 384 L0694 APCL13_642
580 2013 4 YR J 580 L0695 APCL13_646
2309 2013 3.6 YR J 2309 L0696 APCL13_653
480 2013 4.1 W J 480 L0698 APCL13_655
507 2013 5.4 W J 507 L0773 APCL13_656
721 2013 5.1 YR J 721 L0846 APCL13_447
780 2013 4 W J 780 L0847 APCL13_464
