fish_indiv year size color sex gen_id ligation_id sample_id
283 2013 5 YR J 283 L0852 APCL13_476
668 2013 3.7 YR J 668 L0854 APCL13_479
784 2013 4.2 W J 784 L0855 APCL13_480
622 2013 5.9 YR J 622 L0858 APCL13_518
641 2013 3.3 YR J 641 L0859 APCL13_522
650 2013 2.5 YR J 650 L0861 APCL13_527
440 2013 3.4 WP J 440 L0862 APCL13_533
346 2013 4.2 YR J 346 L0869 APCL13_550
799 2013 5.5 YR J 799 L0870 APCL13_556
407 2013 3.8 YR J 407 L0873 APCL13_563
727 2013 3 YR J 727 L0874 APCL13_572
572 2013 3.3 YR J 572 L0875 APCL13_574
449 2013 3.3 YR J 449 L0876 APCL13_581
709 2013 5.4 WP J 709 L0883 APCL13_612
649 2013 3.9 YR J 649 L0885 APCL13_616
682 2013 4.8 YR J 682 L0887 APCL13_624
366 2013 3.1 BW J 366 L0888 APCL13_636
526 2013 4 YR J 526 L0889 APCL13_638
556 2013 2.2 YR J 556 L0891 APCL13_649
587 2013 3.6 YR J 587 L0976 APCL13_629
490 2013 3 W J 490 L0981 APCL13_666
613 2013 4.5 W J 613 L0982 APCL13_667
805 2013 5.2 YR J 805 L1074 APCL13_105
804 2013 3.2 W J 804 L1075 APCL13_106
813 2013 5 YR J 813 L1076 APCL13_107
802 2013 3.7 W J 802 L1077 APCL13_108
808 2013 4.8 W J 808 L1078 APCL13_110
803 2013 3.3 YR J 803 L1079 APCL13_112
338 2013 5.5 W J 338 L1080 APCL13_184
971 2013 3.8 YP J 971 L1082 APCL13_115
815 2013 4.1 YR J 815 L1083 APCL13_117
522 2013 5.7 YR J 522 L1087 APCL13_124
684 2013 5.5 WP J 684 L1099 APCL13_146
355 2013 3.2 YR J 355 L1101 APCL13_150
656 2013 4.9 Y J 656 L1103 APCL13_155
710 2013 4.1 Y J 710 L1104 APCL13_157
792 2013 4.9 Y J 792 L1110 APCL13_165
368 2013 2.9 YR J 368 L1112 APCL13_167
468 2013 4 W J 468 L1116 APCL13_171
685 2013 4.1 W J 685 L1117 APCL13_172
385 2013 4.9 YR J 385 L1118 APCL13_173
411 2013 5.3 YR J 411 L1210 APCL13_632
968 2013 5 YP J 968 L1220 APCL13_575
534 2013 3.9 W J 534 L1226 APCL13_637
434 2013 4.5 YR J 434 L1248 APCL13_641
741 2013 2.8 W J 741 L1249 APCL13_648
816 2013 4.3 YR J 816 L1258 APCL13_113
539 2013 3.9 W J 539 L1260 APCL13_174
528 2013 3.1 YR J 528 L1263 APCL13_477
698 2013 4.7 YR J 698 L1269 APCL13_468
553 2013 1.8 YR J 553 L1270 APCL13_525
513 2013 2.5 YR J 513 L1272 APCL13_586
728 2013 5.2 YR J 728 L1274 APCL13_647
624 2013 4 YR J 624 L1308 APCL13_439
567 2013 2.9 YR J 567 L1309 APCL13_473
551 2013 4.1 YR J 551 L1310 APCL13_475
415 2013 4.5 WP J 415 L1312 APCL13_519
454 2013 3.9 YR J 454 L1314 APCL13_531
688 2013 3.2 YR J 688 L1318 APCL13_593
595 2013 5.8 YR J 595 L1724 APCL13_639
897 2013 NA NA NA 897 NA APCL13_018
416 2013 2.9 YR J 416 L2237 APCL13_509
373 2013 3.7 YR J 373 L2347 APCL13_514
372 2013 5.2 W J 372 NA APCL13_152
298 2013 3.4 YR J 298 L2394 APCL13_500
645 2013 4.1 YR J 645 L2396 APCL13_507
478 2013 5.9 YR J 478 L2440 APCL13_122
694 2013 3.5 YR J 694 L2488 APCL13_321
419 2013 4.9 W J 419 L2492 APCL13_463
348 2013 3.4 YR J 348 L2494 APCL13_561
453 2013 2.5 YR J 453 L2495 APCL13_582
504 2013 4.3 W J 504 L2496 APCL13_617
637 2013 2.7 BW J 637 L2497 APCL13_659
618 2013 3.4 YR J 618 L2498 APCL13_661
790 2013 3.5 YR J 790 L2499 APCL13_662
605 2013 4 YR J 605 L2524 APCL13_138
392 2013 3 YR J 392 L2525 APCL13_153
433 2013 5.3 WP J 433 NA APCL13_615
14 2013 2.4 W J 14 NA APCL13_453
386 2014 4.5 Y J 386 L0598 APCL14_310
765 2014 5.1 Y J 765 L0600 APCL14_314
660 2014 4.9 Y J 660 L0614 APCL14_320
966 2014 4.8 YP J 966 L0615 APCL14_337
744 2014 4.6 W J 744 L0616 APCL14_338
585 2014 3.8 W J 585 L0619 APCL14_441
317 2014 5 Y J 317 L0620 APCL14_541
675 2014 4 YR J 675 L0624 APCL14_552
423 2014 4.5 YR J 423 L0625 APCL14_449
509 2014 5.3 W J 509 L0628 APCL14_460
308 2014 4.4 W J 308 L0629 APCL14_217
276 2014 5.5 YR J 276 L0633 APCL14_300
659 2014 5.2 YR J 659 L0635 APCL14_327
713 2014 4 YR J 713 L0699 APCL14_018
2304 2014 3.5 YR J 2304 L0702 APCL14_066
16 2014 4.1 YR J 16 L0705 APCL14_074
370 2014 3.5 YR J 370 L0706 APCL14_079
333 2014 4.9 W J 333 L0707 APCL14_080
598 2014 4.4 Y J 598 L0716 APCL14_167
797 2014 3.7 Y J 797 L0717 APCL14_189
336 2014 5.9 Y J 336 L0735 APCL14_223
661 2014 4.2 YR J 661 L0742 APCL14_445
400 2014 4.1 W J 400 L0743 APCL14_446
757 2014 4.7 W J 757 L0745 APCL14_453
475 2014 5.6 YR J 475 L0749 APCL14_046
736 2014 4.4 WR J 736 L0755 APCL14_237
305 2014 4.4 Y J 305 L0757 APCL14_246
512 2014 5 W J 512 L0758 APCL14_402
277 2014 5.3 Y J 277 L0760 APCL14_412
378 2014 4.3 Y J 378 L0762 APCL14_418
610 2014 5.7 W J 610 L0763 APCL14_432
603 2014 4.6 W J 603 L0764 APCL14_455
701 2014 4.5 W J 701 L0775 APCL14_020
652 2014 4.8 YR J 652 L0776 APCL14_026
759 2014 3.6 YR J 759 L0777 APCL14_039
493 2014 3.7 W J 493 L0779 APCL14_144
2370 2014 4.8 W J 2370 L0780 APCL14_145
712 2014 5.2 W J 712 L0782 APCL14_162
289 2014 4.4 W J 289 L0784 APCL14_187
2315 2014 3.7 Y J 2315 L0785 APCL14_190
674 2014 5.1 YR J 674 L0787 APCL14_224
279 2014 4.5 YR J 279 L0789 APCL14_227
746 2014 4.5 Y J 746 L0790 APCL14_229
588 2014 5.4 Y J 588 L0791 APCL14_231
550 2014 3.9 Y J 550 L0792 APCL14_242
619 2014 5.4 YR J 619 L0793 APCL14_251
768 2014 5.1 W J 768 L0794 APCL14_346
786 2014 4.5 Y J 786 L0795 APCL14_385
555 2014 4.4 Y J 555 L0796 APCL14_394
284 2014 4.5 W J 284 L0797 APCL14_395
2558 2014 5.5 W J 2558 L0798 APCL14_423
351 2014 5.2 YR J 351 L0799 APCL14_424
387 2014 4.3 W J 387 L0800 APCL14_407
302 2014 4.2 W J 302 L0801 APCL14_408
527 2014 5 W J 527 L0802 APCL14_410
2560 2014 4.9 W J 2560 L0803 APCL14_417
2313 2014 3.6 Y J 2313 L0804 APCL14_420
2314 2014 3.7 W J 2314 L0805 APCL14_389
499 2014 4.8 YR J 499 L0806 APCL14_307
418 2014 4.5 W J 418 L0807 APCL14_303
406 2014 4.5 Y J 406 L0808 APCL14_302
524 2014 4.3 Y J 524 L0809 APCL14_311
393 2014 4 Y J 393 L0812 APCL14_540
566 2014 4.4 W J 566 L0813 APCL14_542
452 2014 4 W J 452 L0815 APCL14_443
456 2014 4.5 W J 456 L0819 APCL14_325
364 2014 3.8 YR J 364 L0821 APCL14_339
711 2014 4.4 W J 711 L0825 APCL14_382
573 2014 4.3 W J 573 L0826 APCL14_421
6 2014 4.8 W J 6 L0827 APCL14_437
330 2014 4.4 Y J 330 L0892 APCL14_002
782 2014 4.8 W J 782 L0894 APCL14_064
2327 2014 4.5 YR J 2327 L0897 APCL14_071
412 2014 4 WR J 412 L0899 APCL14_076
326 2014 5.2 YR J 326 L0900 APCL14_077
602 2014 5.6 W J 602 L0903 APCL14_114
542 2014 4.1 W J 542 L0907 APCL14_143
321 2014 3.6 Y J 321 L0915 APCL14_200
441 2014 4.4 Y J 441 L0917 APCL14_209
2292 2014 5 YR J 2292 L0925 APCL14_101
579 2014 4.8 W J 579 L0928 APCL14_185
500 2014 5.6 YR J 500 L0929 APCL14_193
362 2014 4.1 YR J 362 L0937 APCL14_461
642 2014 4.9 YR J 642 L0948 APCL14_045
644 2014 4.4 YR J 644 L0952 APCL14_061
2372 2014 4.4 Y J 2372 L0953 APCL14_063
2320 2014 4.5 Y J 2320 L0954 APCL14_134
426 2014 4.3 YR J 426 L0955 APCL14_152
561 2014 5 YR J 561 L0956 APCL14_160
591 2014 4.7 YR J 591 L0958 APCL14_194
481 2014 3.7 Y J 481 L0959 APCL14_210
420 2014 4 W J 420 L0960 APCL14_218
275 2014 5.5 Y J 275 L0961 APCL14_236
796 2014 4.7 Y J 796 L0962 APCL14_386
2379 2014 4.3 WR J 2379 L0963 APCL14_403
2373 2014 5.6 Y J 2373 L0964 APCL14_404
640 2014 NA Y J 640 L0965 APCL14_411
582 2014 4.1 YR J 582 L0985 APCL14_048
469 2014 4.3 YR J 469 L0986 APCL14_058
545 2014 5.8 YR J 545 L0988 APCL14_103
2325 2014 5 YR J 2325 L0989 APCL14_107
969 2014 4.2 O J 969 L0991 APCL14_127
521 2014 4 W J 521 L0995 APCL14_206
718 2014 5.6 WP J 718 L0996 APCL14_207
625 2014 5.6 Y J 625 L0997 APCL14_228
502 2014 4.6 YR J 502 L0999 APCL14_232
461 2014 5 W J 461 L1000 APCL14_234
795 2014 5.1 Y J 795 L1002 APCL14_238
314 2014 4.1 W J 314 L1003 APCL14_396
325 2014 5.2 W J 325 L1005 APCL14_425
1029 2014 5.4 Y J 1029 L1007 APCL14_419
304 2014 4.3 YR J 304 L1009 APCL14_431
5 2014 4.6 YR J 5 L1014 APCL14_295
540 2014 4.9 Y J 540 L1015 APCL14_296
483 2014 5 YR J 483 L1017 APCL14_277
677 2014 4 YR J 677 L1019 APCL14_347
599 2014 4.4 W J 599 L1021 APCL14_428
965 2014 4.4 O J 965 L1022 APCL14_435
608 2014 3.6 YR J 608 L1167 APCL14_173
570 2014 4.8 YR J 570 L1228 APCL14_024
773 2014 4.7 YR J 773 L1229 APCL14_025
686 2014 3.7 W J 686 L1230 APCL14_027
781 2014 5.3 YR J 781 L1243 APCL14_038
531 2014 5.5 Y J 531 L1244 APCL14_241
636 2014 4.1 W J 636 L1253 APCL14_028
281 2014 5.1 W J 281 L1254 APCL14_426
485 2014 4 W J 485 L1275 APCL14_031
581 2014 4.4 W J 581 L1277 APCL14_205
748 2014 5.8 Y J 748 L1279 APCL14_233
435 2014 4.5 YR J 435 L1285 APCL14_219
405 2014 4.7 YR J 405 L1289 APCL14_225
285 2014 3.2 Y J 285 L1291 APCL14_174
730 2014 4.6 W J 730 L1299 APCL14_216
546 2014 4.3 Y J 546 L1322 APCL14_212
745 2014 5.6 Y J 745 L1323 APCL14_179
427 2014 5.3 NA NA 427 L1329 APCL14_054
672 2014 5.5 YR J 672 L1330 APCL14_099
547 2014 4.5 YR J 547 L1333 APCL14_191
607 2014 5.2 YR J 607 L1339 APCL14_089
578 2014 4.2 W J 578 L1340 APCL14_406
670 2014 3.6 YR J 670 L1344 APCL14_434
471 2014 4.8 W J 471 L1346 APCL14_439
329 2014 4.8 YR J 329 L1347 APCL14_440
2565 2014 5.5 Y J 2565 L1730 APCL14_399
537 2014 5.8 Y J 537 L1731 APCL14_401
335 2014 5.5 Y J 335 L2248 APCL14_186
681 2014 5.7 Y J 681 L2397 APCL14_192
707 2014 5.3 W J 707 L2398 APCL14_324
1046 2014 3.6 YR J 1046 L2399 APCL14_332
2381 2014 4.4 W J 2381 L2445 APCL14_329
352 2014 4.6 YR J 352 L2446 APCL14_336
2387 2014 4.2 W J 2387 L2453 APCL14_405
739 2014 4.8 W J 739 L2454 APCL14_429
734 2014 4 Y J 734 L2455 APCL14_430
2405 2014 4.2 YP J 2405 L2506 APCL14_051
301 2014 4.8 YR J 301 L2510 APCL14_151
525 2014 4.8 YR J 525 L2518 APCL14_092
654 2014 4.4 YR J 654 L2519 APCL14_093
363 2014 5.1 Y J 363 L2523 APCL14_269
673 2014 4.3 WR J 673 L2526 APCL14_271
4 2014 4.1 W J 4 L2531 APCL14_328
779 2014 5.8 W J 779 NA APCL14_132
1031 2014 4.9 YR J 1031 NA APCL14_129
970 2014 4.4 O J 970 NA APCL14_414
574 2014 5.7 YR J 574 NA APCL14_220
705 2014 4.9 W J 705 NA APCL14_331
738 2014 4 W J 738 NA APCL14_188
299 2014 4 YR J 299 NA APCL14_086
21 2014 4.6 YR J 21 NA APCL14_293
1044 2014 3.7 W J 1044 NA APCL14_427
689 2014 4.8 WR J 689 NA APCL14_409
680 2014 5.7 YR J 680 L3009 APCL14_154
789 2014 4.5 W J 789 L3065 APCL14_156
288 2014 5.4 W J 288 L3066 APCL14_195
2285 2014 4.5 Y J 2285 NA APCL14_230
13 2014 5.5 Y J 13 NA APCL14_182
2559 2014 5.2 Y J 2559 NA APCL14_133
2302 2014 4.3 Y J 2302 NA APCL14_400
532 2014 4.3 Y J 532 NA APCL14_397
431 2014 5.1 WR J 431 L5178 APCL14_393
2429 2014 5.2 W J 2429 L5521 APCL14_547
870 2015 5.5 YR J 870 L2340 APCL15_132
873 2015 4.1 Y J 873 L2390 APCL15_134
859 2015 5.6 YR J 859 L2439 APCL15_135
863 2015 4.2 YR J 863 L2575 APCL15_131
552 2015 5.8 YR J 552 L2585 APCL15_139
359 2015 4.7 YR J 359 L2591 APCL15_142
495 2015 5.8 YR J 495 L2594 APCL15_144
523 2015 5 YR J 523 L2598 APCL15_136
726 2015 4.6 YR J 726 L2605 APCL15_145
464 2015 5.4 YR J 464 L2611 APCL15_141
593 2015 4.6 W J 593 L2640 APCL15_107
358 2015 5.3 YR J 358 L2641 APCL15_097
383 2015 4.2 YR J 383 L2644 APCL15_125
516 2015 4.5 YR J 516 L2645 APCL15_114
627 2015 4.1 YR J 627 L2648 APCL15_111
565 2015 4.6 YR J 565 L2650 APCL15_129
33 2015 4.1 W J 33 L2656 APCL15_120
46 2015 4.4 YR J 46 L2660 APCL15_113
34 2015 4 YR J 34 L2666 APCL15_112
40 2015 5.6 Y J 40 L2669 APCL15_124
43 2015 5.8 W J 43 L2674 APCL15_105
37 2015 5.2 YR J 37 L2675 APCL15_130
39 2015 4.8 W J 39 L2705 APCL15_096
2282 2015 4.7 Y J 2282 L2711 APCL15_083
44 2015 5.9 Y J 44 L2715 APCL15_080
2303 2015 5.5 YR J 2303 L2719 APCL15_082
2290 2015 5.7 YR J 2290 L2721 APCL15_081
36 2015 4.6 YR J 36 L2728 APCL15_085
47 2015 4.5 W J 47 L2730 APCL15_086
42 2015 4.5 W J 42 L2733 APCL15_091
2281 2015 5.4 Y J 2281 L2734 APCL15_092
41 2015 4.8 YR J 41 L2738 APCL15_115
181 2015 4.2 W J 181 L2742 APCL15_095
188 2015 4.1 WR J 188 L2744 APCL15_094
175 2015 5.5 W J 175 L2746 APCL15_093
95 2015 4.4 YR J 95 L2758 APCL15_074
2294 2015 5 YR J 2294 L2773 APCL15_045
122 2015 5.4 YR J 122 L2803 APCL15_017
1208 2015 5.6 YR J 1208 L2827 APCL15_375827
1199 2015 5.5 YR J 1199 L2835 APCL15_375443
238 2015 5.8 YR J 238 L2840 APCL15_147
2377 2015 4.6 YR J 2377 L2872 APCL15_143
486 2015 4.5 Y J 486 L2874 APCL15_140
577 2015 5 YR J 577 L2877 APCL15_150
777 2015 4.1 YR J 777 L2881 APCL15_110
38 2015 4.6 BW J 38 L2884 APCL15_122
161 2015 5.8 YR J 161 L2889 APCL15_073
205 2015 4.4 W J 205 L2894 APCL15_026
202 2015 5.2 YR J 202 L2898 APCL15_014
2556 2015 4.5 YR J 2556 L2906 APCL15_022
98 2015 4.6 W J 98 L2910 APCL15_025
172 2015 4.5 WR J 172 L2911 APCL15_018
1274 2015 5.9 Y J 1274 L2914 APCL15_370907
107 2015 4.9 YR J 107 L2916 APCL15_016
206 2015 4.8 YR J 206 L2923 APCL15_010
2296 2015 4.4 YR J 2296 L2947 APCL15_013
231 2015 5.7 YR J 231 L2948 APCL15_148
166 2015 5 YR J 166 L2956 APCL15_151
264 2015 5.3 YR J 264 L2962 APCL15_158
182 2015 4.3 YR J 182 L2966 APCL15_157
230 2015 4.1 YR J 230 L2967 APCL15_156
1312 2015 5.8 YR J 1312 L2979 APCL15_375642
247 2015 5.3 YR J 247 L2981 APCL15_064
241 2015 5.7 W J 241 L2982 APCL15_069
2347 2015 4.1 W J 2347 L2985 APCL15_024
234 2015 4.3 B J 234 L2993 APCL15_044
183 2015 4.1 YR J 183 L2995 APCL15_021
153 2015 3.5 YR J 153 L2999 APCL15_042
1022 2015 4.5 YR J 1022 L3005 APCL15_373270
32 2015 5.8 YR J 32 L3016 APCL15_101
704 2015 4.9 W J 704 L3020 APCL15_108
232 2015 4.7 W J 232 L3022 APCL15_040
24 2015 5.8 YR J 24 L3023 APCL15_149
687 2015 5.1 YR J 687 L3028 APCL15_137
118 2015 5.8 YR J 118 L3030 APCL15_065
96 2015 3.5 YR J 96 L3031 APCL15_007
2293 2015 5.2 W J 2293 L3035 APCL15_071
262 2015 4.6 YR J 262 L3036 APCL15_152
152 2015 4.4 YR J 152 L3038 APCL15_089
1760 2015 5.3 YP J 1760 L3039 APCL15_159
106 2015 4.4 WR J 106 L3041 APCL15_070
195 2015 5.1 W J 195 L3044 APCL15_075
213 2015 4.2 YR J 213 L3051 APCL15_019
422 2015 5.3 YR J 422 L3052 APCL15_116
90 2015 4.9 W J 90 L3067 APCL15_036
189 2015 4.8 YR J 189 L3068 APCL15_155
3 2015 4.3 YR J 3 L3069 APCL15_098
964 2015 5 O J 964 L3074 APCL15_121
242 2015 4.4 W J 242 L3076 APCL15_076
245 2015 5.6 YR J 245 L3086 APCL15_090
2301 2015 3.8 YR J 2301 L3088 APCL15_118
425 2015 4.7 YR J 425 L3090 APCL15_117
356 2015 4.3 YR J 356 L3092 APCL15_138
706 2015 5.2 Y J 706 L3093 APCL15_123
35 2015 4 YR J 35 L3097 APCL15_077
119 2015 4.4 YR J 119 L3101 APCL15_072
760 2015 4 YR J 760 L3103 APCL15_128
45 2015 5.2 Y J 45 L3105 APCL15_104
134 2015 3.8 W J 134 L3109 APCL15_039
164 2015 4.3 W J 164 L3110 APCL15_043
2286 2015 4.7 YR J 2286 NA APCL15_119
2295 2015 4.1 YR J 2295 NA APCL15_038
2299 2015 5.6 Y J 2299 NA APCL15_133
2289 2015 4.1 YR J 2289 NA APCL15_100
2288 2015 4.4 YR J 2288 NA APCL15_102
2668 2015 5.1 YP J 2668 NA APCL15_103
2298 2015 5 YR J 2298 NA APCL15_109
2404 2015 4.4 YP J 2404 NA APCL15_041
2297 2015 4.8 YR J 2297 NA APCL15_011
2291 2015 5.1 YR J 2291 NA APCL15_078
2283 2015 4.4 YR J 2283 NA APCL15_079
1370 2016 5.9 YR J 1370 L3231 APCL16_090
432 2016 3.9 YR J 432 L3294 APCL16_149
1344 2016 5.7 YR J 1344 L3361 APCL16_796
1339 2016 5.4 W J 1339 L3377 APCL16_812
1348 2016 5.6 YR J 1348 L3378 APCL16_813
1346 2016 5.1 YR J 1346 L3380 APCL16_815
617 2016 3.5 YR J 617 L3606 APCL16_042
350 2016 5.9 YR J 350 L3611 APCL16_048
2666 2016 4.4 YR J 2666 L3613 APCL16_050
575 2016 5.7 YR J 575 L3620 APCL16_058
430 2016 5.1 YR J 430 L3622 APCL16_060
357 2016 4.5 YR J 357 L3625 APCL16_063
2570 2016 5.1 YR J 2570 L3628 APCL16_066
639 2016 5.8 YR J 639 L3635 APCL16_073
785 2016 4.2 YR J 785 L3642 APCL16_082
1104 2016 5.2 YR J 1104 L3703 APCL16_689
1363 2016 5.1 YR J 1363 L3704 APCL16_092
71 2016 5 YR J 71 L3706 APCL16_686
72 2016 5.4 W J 72 L3708 APCL16_684
50 2016 4.8 YR J 50 L3713 APCL16_679
64 2016 5.6 W J 64 L3715 APCL16_677
56 2016 5.1 YR J 56 L3716 APCL16_676
53 2016 5 YR J 53 L3717 APCL16_675
74 2016 5.1 YR J 74 L3719 APCL16_673
60 2016 4.5 YR J 60 L3720 APCL16_672
80 2016 4.1 YR J 80 L3723 APCL16_669
75 2016 4.9 YR J 75 L3724 APCL16_668
67 2016 4 YR J 67 L3725 APCL16_667
85 2016 5.4 YR J 85 L3728 APCL16_664
82 2016 4.6 YR J 82 L3729 APCL16_663
88 2016 4.3 YR J 88 L3730 APCL16_662
87 2016 4.2 YR J 87 L3732 APCL16_660
830 2016 5 YR J 830 L3734 APCL16_658
840 2016 5.8 YR J 840 L3744 APCL16_647
1418 2016 5.5 YR J 1418 L4977 APCL16_205
404 2016 3.6 YR J 404 L4982 APCL16_211
