offs_lig,par_lig,prob,year,offs_fish_indiv,offs_size,offs_color,offs_sex,offs_gen_id,offs_sample_id,offs_site,offs_date,offs_anem_obs_time,offs_gps,par_fish_indiv,par_size,par_color,par_sex,par_gen_id,par_sample_id,par_site,par_date,par_anem_obs_time,par_gps,offs_time_date,offs_year,offs_month,offs_day,offs_hour,offs_minute,par_time_date,par_year,par_month,par_day,par_hour,par_minute,offs_lat,offs_lon,par_lat,par_lon,dist_par_km
L2288,L2320,1,2012,237,5.8,Y,J,237,APCL12_212,Poroc San Flower,2012-05-11,12:29:00,1,862,7.9,O,M,862,APCL12_277,Wangag,2012-05-14,11:44:00,1,2012-05-11 04:29:00,2012,5,11,4,29,2012-05-14 03:44:00,2012,5,14,3,44,10.76426075,124.78526275,10.871532,124.71412025,14.2355924564988
L5176,L2567,1,2012,224,5.7,W,J,224,APCL12_205,Poroc San Flower,2012-05-11,12:07:00,1,196,9.1,O,M,196,APCL12_145,S. Magbangon,2012-05-10,11:15:00,1,2012-05-11 04:07:00,2012,5,11,4,7,2012-05-10 03:15:00,2012,5,10,3,15,10.7640445,124.7851795,10.8572275,124.7249385,12.2740165476854
L0327,L1762,1,2012,762,9,YP,F,762,APCL13_295,Wangag,2013-05-28,12:36:00,1,236,8.6,O,M,236,APCL12_093,Palanas,2012-05-09,12:33:00,1,2013-05-28 04:36:00,2013,5,28,4,36,2012-05-09 04:33:00,2012,5,9,4,33,10.871445,124.71403675,10.87353975,124.7119265,0.32765153226201
L5176,L2224,1,2012,224,5.7,W,J,224,APCL12_205,Poroc San Flower,2012-05-11,12:07:00,1,2050,9.3,Y,F,2050,APCL12_144,S. Magbangon,2012-05-10,11:15:00,1,2012-05-11 04:07:00,2012,5,11,4,7,2012-05-10 03:15:00,2012,5,10,3,15,10.7640445,124.7851795,10.8572275,124.7249385,12.2740165476854
L0262,L1760,1,2013,104,4,YR,J,104,APCL13_227,Palanas,2013-05-27,12:31:30,1,235,9.1,O,M,235,APCL12_088,Palanas,2012-05-09,12:03:00,1,2013-05-27 04:31:30,2013,5,27,4,31,2012-05-09 04:03:00,2012,5,9,4,3,10.873446,124.712219,10.872903,124.7118665,0.0716050074914373
L0278,L2345,1,2013,312,3.8,YR,J,312,APCL13_245,Palanas,2013-05-27,14:45:00,1,146,10.4,NA,NA,146,APCL12_030,Visca,2012-05-06,15:31:00,1,2013-05-27 06:45:00,2013,5,27,6,45,2012-05-06 07:31:00,2012,5,6,7,31,10.874273,124.710655,10.743995,124.786302,16.6768523361538
L0318,L1336,1,2013,489,4.2,YR,J,489,APCL13_286,Wangag,2013-05-28,12:02:23,1,1794,5.5,YP,F,1794,APCL13_650,Palanas,2013-06-04,15:02:30,1,2013-05-28 04:02:23,2013,5,28,4,2,2013-06-04 07:02:30,2013,6,4,7,2,10.871594,124.71391175,10.87343025,124.71182725,0.305783175791157
L0319,L2442,1,2013,549,5.4,W,J,549,APCL13_287,Wangag,2013-05-28,12:07:48,1,394,9.2,O,M,394,APCL13_496,Palanas,2013-05-31,11:55:00,1,2013-05-28 04:07:48,2013,5,28,4,7,2013-05-31 03:55:00,2013,5,31,3,55,10.871547,124.713929,10.872822,124.711862,0.266545908939256
L0362,L1762,1,2013,447,5.3,W,J,447,APCL13_341,S. Magbangon,2013-05-29,11:09:00,1,236,8.6,O,M,236,APCL12_093,Palanas,2012-05-09,12:33:00,1,2013-05-29 03:09:00,2013,5,29,3,9,2012-05-09 04:33:00,2012,5,9,4,33,10.857542,124.725205,10.87353975,124.7119265,2.29498691764115
L0398,L2217,1,2013,646,3.3,W,J,646,APCL13_388,Wangag,2013-05-30,08:47:15,1,133,9,O,M,133,APCL12_117,Wangag,2012-05-09,15:00:00,1,2013-05-30 00:47:15,2013,5,30,0,47,2012-05-09 07:00:00,2012,5,9,7,0,10.8690235,124.71647975,10.871685,124.71399775,0.401301442668751
