Pop Pop1 Pop2 Pop3 Pop4 Pop5 Pop6 Pop7 Pop8 Pop9 Pop10 Pop11 Pop12 Pop13 Pop14 Ghost
1 0.9792 0.0016 0.0016 0.0016 0.9998 0.0001 0.0016 0.0016 0.0001 0.0001 0.0016 0.0016 0.0016 0.0016 0.0000
2 0.0001 0.0001 0.0016 0.0001 0.0001 0.0001 0.0001 0.0016 0.0016 0.0001 0.0001 0.0016 0.0001 0.0016 0.9911
3 0.0016 0.0016 0.0001 0.0001 0.0002 0.0005 0.0001 0.0001 0.0001 0.0001 0.0001 0.0015 0.0003 0.0001 0.9935
4 0.0001 0.0001 0.0016 0.0001 0.0002 0.0005 0.0016 0.0016 0.0016 0.0013 0.0001 0.0001 0.0014 0.0001 0.9896
5 0.0001 0.0001 0.0001 0.0001 0.6770 0.1479 0.0001 0.0001 0.0016 0.0001 0.1385 0.0004 0.0001 0.0001 0.0337
6 0.0001 0.0001 0.0016 0.0001 0.0007 0.8636 0.0016 0.0001 0.0016 0.0001 0.0010 0.0004 0.0016 0.0016 0.1258
7 0.0001 0.0001 0.0016 0.0001 0.0001 0.0001 0.9792 0.0016 0.0016 0.0001 0.0001 0.0016 0.0001 0.0001 0.0135
8 0.0016 0.0001 0.0001 0.0001 0.0001 0.0001 0.0016 0.9792 0.0016 0.0001 0.0001 0.0001 0.0016 0.0016 0.0120
9 0.0016 0.0016 0.0001 0.0001 0.0001 0.0016 0.0001 0.0016 0.0001 0.0014 0.0003 0.0016 0.0016 0.0016 0.9866
10 0.0016 0.0203 0.0016 0.0016 0.0016 0.0016 0.0016 0.0016 0.0016 0.1451 0.0016 0.0016 0.0016 0.0016 0.8154
11 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0016 0.0001 0.0016 0.9956
12 0.0016 0.0001 0.0016 0.0001 0.0001 0.0001 0.0016 0.0001 0.0001 0.0001 0.0001 0.9792 0.0001 0.0001 0.0150
13 0.0016 0.0001 0.0016 0.0105 0.0000 0.0645 0.0016 0.0016 0.0001 0.0171 0.0001 0.0000 0.9591 0.0016 0.0000
14 0.0019 0.0017 0.0017 0.0016 0.0017 0.0013 0.0018 0.0017 0.0017 0.0011 0.0015 0.0017 0.0014 0.9792 0.0000
