PopI CI_(J=1) CI_(J=2) CI_(J=3) CI_(J=4) CI_(J=5) CI_(J=6) CI_(J=7) CI_(J=8) CI_(J=9) CI_(J=10) CI_(J=11) CI_(J=12) CI_(J=13) CI_(J=14)
1 0.0001-0.9955 0.0001-0.6900 0.0001-0.1910 0.0001-0.8816 0.0001-0.1910 0.6909-0.9985 0.0001-0.2637 0.0001-0.5723 0.0001-0.1632 0.0001-0.3088 0.0001-0.7629 0.0001-0.3087 0.0001-0.6910 0.0001-0.6162
2 0.0001-0.7629 0.0001-0.9974 0.0001-0.8076 0.0001-0.4651 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985
3 0.0001-0.1910 0.0001-0.3088 0.0001-0.4993 0.0001-0.5329 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985
4 0.0001-0.3821 0.0001-0.4716 0.0001-0.4954 0.0001-0.6172 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985
5 0.0001-0.1872 0.0001-0.3816 0.0001-0.5262 0.0001-0.6793 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985
6 0.0001-0.2939 0.0001-0.4993 0.0001-0.3088 0.0001-0.1976 0.0001-0.5787 0.3830-0.8168 0.1034-0.5770 0.0001-0.5030 0.0001-0.8716 0.0001-0.5100 0.0001-0.4279 0.0069-0.2968 0.0001-0.4265 0.0001-0.4952
7 0.0001-0.3061 0.0001-0.3088 0.0001-0.3086 0.0001-0.3816 0.0001-0.2914 0.0001-0.5164 0.1635-0.9985 0.0001-0.6901 0.0001-0.8529 0.0001-0.7694 0.0001-0.4093 0.0001-0.3807 0.0001-0.8807 0.0001-0.8357
8 0.0001-0.1804 0.0001-0.5721 0.0001-0.5273 0.0001-0.3816 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985
9 0.0001-0.3088 0.0001-0.5016 0.0001-0.4635 0.0001-0.1914 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985
10 0.0001-0.4716 0.0001-0.3364 0.0001-0.8078 0.0001-0.4993 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985
11 0.0001-0.6900 0.0001-0.1870 0.0001-0.5828 0.0001-0.2638 0.0001-0.4741 0.0001-0.7907 0.0001-0.7456 0.0001-0.2917 0.0001-0.4987 0.0001-0.2365 0.2209-0.9985 0.0001-0.2145 0.0001-0.5385 0.0001-0.8355
12 0.0001-0.3088 0.0001-0.3046 0.0001-0.4987 0.0001-0.6171 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985
13 0.0001-0.5273 0.0001-0.5034 0.0001-0.6894 0.0001-0.4995 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985
14 0.0001-0.9257 0.0001-0.3814 0.0001-0.1648 0.0001-0.7628 0.0067-0.8873 0.0001-0.5008 0.0316-0.4753 0.0001-0.9519 0.0001-0.3816 0.0001-0.3366 0.0180-0.7628 0.0001-0.8807 0.0001-0.6899 0.3078-0.9162
