Pop CabatoanXL CabatoanXU Elementary_SchoolXL Elementary_SchoolXU HainaXL HainaXU Hicgop_SouthXL Hicgop_SouthXU N.MagbangonXL N.MagbangonXU PalanasXL PalanasXU Poroc_RoseXL Poroc_RoseXU S.MagbangonXL S.MagbangonXU San_AgustinXL San_AgustinXU Sitio_BaybayonXL Sitio_BaybayonXU Tamakin_DacotXL Tamakin_DacotXU ViscaXL ViscaXU WangagXL WangagXU
1 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986
2 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.8241 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.8661 0.0001 0.9986 0.0001 0.9986
3 0.0001 0.2684 0.0001 0.1908 0.0001 0.9192 0.0001 0.8119 0.0001 0.6000 0.0001 0.3728 0.0102 0.7518 0.0001 0.4722 0.0001 0.6000 0.0001 0.7737 0.0001 0.3466 0.0001 0.6900 0.0001 0.6895
4 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.8458 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.8565 0.0001 0.9986 0.0001 0.9986
5 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986
6 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.2358 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.2358 0.0001 0.9986 0.0001 0.9986
7 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986
8 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.2636 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.4044 0.0001 0.9986 0.0001 0.9986
9 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986
10 0.0001 0.3108 0.0001 0.8341 0.0001 0.8805 0.0001 0.6459 0.0001 0.8366 0.0001 0.6242 0.0001 0.6272 0.0001 0.6565 0.0001 0.8826 0.6962 0.9518 0.0159 0.3202 0.0870 0.4727 0.0001 0.8085
11 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.6421 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.6348 0.0001 0.9986 0.0001 0.9986
12 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986
13 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.2262 0.0001 0.9986 0.0001 0.9986 0.0001 0.9986 0.0001 0.2354 0.0001 0.9986 0.0001 0.9986
