PopI CabatoanXL CabatoanXU Elementary_SchoolXL Elementary_SchoolXU GabasXL GabasXU HainaXL HainaXU Hicgop_SouthXL Hicgop_SouthXU N.MagbangonXL N.MagbangonXU PalanasXL PalanasXU San_AgustinXL San_AgustinXU Sitio_BaybayonXL Sitio_BaybayonXU Tamakin_DacotXL Tamakin_DacotXU ViscaXL ViscaXU WangagXL WangagXU
1 0.3483 0.8500 0.0001 0.6173 0.0001 0.2361 0.0001 0.4266 0.0001 0.8808 0.0001 0.6236 0.0039 0.2959 0.0001 0.7630 0.0001 0.6901 0.0001 0.8530 0.0001 0.8809 0.0001 0.4993
2 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.6001 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987
3 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.8356 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987
4 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.2712 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987
5 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.3825 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987
6 0.0001 0.8808 0.0001 0.1181 0.0001 0.5035 0.0001 0.5295 0.0001 0.1909 0.0001 0.6901 0.0001 0.3365 0.0036 0.9987 0.0001 0.6905 0.0001 0.9259 0.0001 0.6902 0.0001 0.4266
7 0.0001 0.8076 0.0001 0.8036 0.0001 0.5444 0.0001 0.1632 0.0001 0.3087 0.2915 0.9987 0.0001 0.6067 0.0001 0.9799 0.0001 0.4265 0.0001 0.9324 0.0001 0.5922 0.0001 0.3815
8 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.6213 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987
9 0.1086 0.9987 0.0001 0.4889 0.0001 0.6902 0.0001 0.5045 0.0001 0.7639 0.0001 0.8121 0.0001 0.3512 0.0001 0.6901 0.0001 0.5723 0.0001 0.6899 0.0001 0.8384 0.0001 0.3815
10 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.1654 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987
11 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.4758 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987 0.0001 0.9987
12 0.0001 0.8186 0.0001 0.7498 0.0001 0.2983 0.0001 0.6664 0.0001 0.5101 0.0001 0.8874 0.0001 0.1630 0.0001 0.7564 0.0001 0.7180 0.3191 0.9987 0.0001 0.8080 0.0001 0.3815
