Pop Cabatoan Caridad_Cemetery Caridad_Proper Elementary_School Haina Hicgop_South N.Magbangon Palanas Poroc_Rose Poroc_San_Flower S.Magbangon San_Agustin Sitio_Baybayon Sitio_Tugas Tamakin_Dacot Visca Wangag Ghost
1 0.0001 0.0513 0.0001 0.0001 0.0512 0.0512 0.0001 0.0001 0.0512 0.0512 0.0512 0.0512 0.0512 0.0001 0.0512 0.0001 0.0001 0.5383
2 0.0001 0.1809 0.0001 0.0512 0.0511 0.0001 0.0002 0.0001 0.0001 0.0512 0.0512 0.0512 0.0001 0.0512 0.0512 0.0001 0.0001 0.4598
3 0.0512 0.0001 0.1808 0.0001 0.0512 0.0512 0.0001 0.0001 0.0512 0.0512 0.0512 0.0001 0.0512 0.0001 0.0001 0.0001 0.0001 0.4599
4 0.0512 0.0513 0.0512 0.0001 0.0512 0.0512 0.0001 0.1594 0.0512 0.0001 0.0003 0.0512 0.0001 0.0512 0.0007 0.0001 0.1167 0.3127
5 0.0512 0.0513 0.0512 0.0001 0.1808 0.0001 0.0001 0.0001 0.0001 0.0512 0.0512 0.0512 0.0512 0.0512 0.0512 0.0001 0.0001 0.3576
6 0.0001 0.0513 0.0512 0.0001 0.0512 0.1808 0.0001 0.0001 0.0001 0.0512 0.0001 0.0512 0.0512 0.0512 0.0512 0.0001 0.0001 0.4087
7 0.0001 0.0001 0.0001 0.0003 0.0002 0.0001 0.7850 0.1742 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.0001 0.1433 0.0000
8 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.1025 0.0002 0.0001 0.0002 0.0007 0.7370 0.0001 0.0001 0.0466 0.0905 0.0212
9 0.0512 0.0513 0.0001 0.0512 0.0512 0.0512 0.0001 0.0001 0.0001 0.0512 0.0512 0.0512 0.0512 0.0512 0.0512 0.0001 0.0001 0.4361
10 0.0512 0.0513 0.0512 0.0001 0.0512 0.0512 0.0512 0.0001 0.0512 0.0001 0.0512 0.0512 0.0512 0.0512 0.0001 0.0001 0.0001 0.4361
11 0.0512 0.0513 0.0001 0.0512 0.0512 0.0013 0.0001 0.0001 0.0001 0.0001 0.1808 0.0512 0.0512 0.0512 0.0512 0.0001 0.1547 0.2529
12 0.0515 0.0514 0.0514 0.0513 0.0514 0.0515 0.0507 0.0501 0.0513 0.0513 0.0514 0.1810 0.0514 0.0515 0.0512 0.0517 0.0499 0.0000
13 0.0001 0.0513 0.0512 0.0512 0.0512 0.0001 0.0504 0.0512 0.0001 0.0001 0.0512 0.0512 0.0009 0.0512 0.0512 0.0001 0.0001 0.4872
14 0.0513 0.0515 0.0512 0.0515 0.0512 0.0516 0.0513 0.0500 0.0518 0.0514 0.0513 0.0514 0.0509 0.1809 0.0513 0.0516 0.0498 0.0000
15 0.0001 0.0513 0.0511 0.0512 0.0512 0.0512 0.0002 0.0001 0.0512 0.0512 0.0512 0.0512 0.0512 0.0512 0.0001 0.0001 0.0001 0.4361
16 0.0512 0.0513 0.0001 0.0512 0.0512 0.0512 0.0002 0.0001 0.0001 0.0512 0.0512 0.0001 0.0511 0.0001 0.0512 0.1808 0.0001 0.3576
17 0.0000 0.0001 0.0001 0.0004 0.9073 0.0001 0.0000 0.1018 0.0001 0.0001 0.0001 0.0001 0.0001 0.0000 0.0001 0.0001 0.1341 0.0000
