Pop Cabatoan N.Magbangon Palanas Poroc_Rose Poroc_San_Flower S.Magbangon Sitio_Lonas Visca Wangag Ghost
1 0.0001 0.0001 0.0001 0.0001 0.0002 0.0001 0.0001 0.0001 0.0001 0.9990
2 0.0001 0.0001 0.0001 0.0002 0.0001 0.0001 0.0001 0.0001 0.0001 0.9990
3 0.0001 0.0001 0.0001 0.0001 0.0002 0.0001 0.0001 0.0001 0.0001 0.9990
4 0.0001 0.0002 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.9990
5 0.0000 0.0001 0.0001 0.0001 0.0001 0.1111 0.0001 0.0001 0.8883 0.0000
6 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.0001 0.9990
7 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.0001 0.9990
8 0.0001 0.0001 0.0001 0.0001 0.0002 0.0001 0.0001 0.0001 0.0001 0.9990
9 0.0001 0.0001 0.0625 0.0001 0.0002 0.0001 0.0001 0.0001 0.0001 0.9366
