PopI CabatoanXL CabatoanXU N.MagbangonXL N.MagbangonXU PalanasXL PalanasXU Poroc_RoseXL Poroc_RoseXU Poroc_San_FlowerXL Poroc_San_FlowerXU S.MagbangonXL S.MagbangonXU San_AgustinXL San_AgustinXU ViscaXL ViscaXU WangagXL WangagXU
1 0.0001 0.9954 0.0001 0.2531 0.0001 0.8983 0.0001 0.3022 0.0001 0.7635 0.0001 0.6290 0.0001 0.9990 0.0001 0.9990 0.0007 0.9990
2 0.0001 0.6903 0.0001 0.9967 0.0001 0.5611 0.0001 0.5895 0.0001 0.8821 0.0001 0.8042 0.0001 0.9990 0.0001 0.9990 0.0013 0.9990
3 0.0001 0.3374 0.0001 0.5239 0.1804 1.0000 0.0001 0.5371 0.0001 0.3096 0.0001 0.3816 0.0001 0.8188 0.0001 0.6913 0.0001 0.3088
4 0.0001 0.5299 0.0001 0.5036 0.0001 0.5649 0.0001 0.6174 0.0001 0.5551 0.0001 0.3534 0.4303 0.9990 0.0001 0.4995 0.0001 0.6903
5 0.0001 0.3098 0.0001 0.7910 0.0001 0.5728 0.0001 0.6065 0.0001 0.7075 0.0057 0.3476 0.0001 0.8087 0.0001 0.3376 0.0009 0.7358
6 0.0001 0.8813 0.0001 0.6903 0.0001 0.5748 0.4974 1.0000 0.0001 0.4269 0.0001 0.3642 0.0001 0.9752 0.0001 0.9540 0.0004 0.6908
7 0.0001 0.3073 0.0001 0.7910 0.0001 0.5618 0.0001 0.9088 0.0001 0.4105 0.0001 0.3807 0.0001 0.9990 0.0001 0.9990 0.0001 0.9990
8 0.0001 0.3099 0.0001 0.9712 0.0001 0.5303 0.0001 0.8088 0.0001 0.5731 0.0001 0.7976 0.0001 0.9990 0.0001 0.9990 0.0001 0.9990
9 0.0001 0.6285 0.0001 0.3472 0.0001 0.5448 0.0001 0.5127 0.0001 0.3098 0.0001 0.3710 0.0001 0.9990 0.0001 0.9990 0.0001 0.9990
