PopI CI_(J=1) CI_(J=2) CI_(J=3) CI_(J=4) CI_(J=5) CI_(J=6) CI_(J=7) CI_(J=8) CI_(J=9)
1 0.0001-0.2637 0.0001-0.5273 0.0001-0.4717 0.0001-0.3376 0.0001-0.6451 0.0001-0.9990 0.0001-0.9990 0.0001-0.9990 0.0001-0.9990
2 0.0001-0.3405 0.0001-0.6347 0.0001-0.5274 0.4959-0.9967 0.0001-0.3376 0.0001-0.7804 0.0001-0.5705 0.0001-0.6903 0.0159-0.9731
3 0.0001-0.6347 0.0001-0.5143 0.5000-1.0000 0.0001-0.5453 0.0001-0.6888 0.0001-0.4955 0.0001-0.3033 0.0001-0.8360 0.0001-0.4307
4 0.0001-0.7363 0.0001-0.5299 0.0001-0.4717 0.0001-0.7632 0.0001-0.4267 0.0073-0.9990 0.0001-0.0745 0.0001-0.1990 0.0001-0.5724
5 0.0001-0.4273 0.0082-0.3723 0.0001-0.6241 0.0001-0.7354 0.0001-0.3103 0.0001-0.9303 0.0001-0.6009 0.0001-0.9620 0.0686-0.2734
6 0.0001-0.1286 0.0001-0.2293 0.0001-0.5272 0.0001-0.4995 0.0001-0.6905 0.0001-0.9990 0.0001-0.9990 0.0001-0.9990 0.0001-0.9990
7 0.0001-0.3097 0.0001-0.5756 0.0001-0.8984 0.0001-0.8983 0.0001-0.5173 0.0001-0.9990 0.0001-0.9990 0.0001-0.9990 0.0001-0.9990
8 0.0001-0.2077 0.0001-0.4995 0.0001-0.8534 0.0001-0.6970 0.0001-0.8172 0.0001-0.9990 0.0001-0.9990 0.0001-0.9990 0.0001-0.9990
9 0.0001-0.3034 0.0001-0.2967 0.0001-0.3701 0.0001-0.3444 0.0001-0.3826 0.0001-0.9990 0.0001-0.9990 0.0001-0.9990 0.0001-0.8769
