Pop Pop1 Pop2 Pop3 Pop4 Pop5 Pop6 Pop7 Pop8 Pop9 Pop10 Pop11 Pop12 Pop13 Pop14 Pop15 Pop16 Pop17 Ghost
1 0.0001 0.0001 0.0002 0.0002 0.0001 0.0001 0.0001 0.6301 0.0002 0.0007 0.0003 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.3666
2 0.0001 0.0001 0.0002 0.0004 0.0001 0.0001 0.0000 0.0001 0.0002 0.0001 0.0001 0.0001 0.0000 0.0001 0.0001 0.0001 0.0001 0.9980
3 0.0001 0.0004 0.9968 0.0001 0.0001 0.0001 0.0001 0.0000 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0014
4 0.0001 0.0001 0.0002 0.0002 0.0001 0.0001 0.0001 0.0955 0.0002 0.0002 0.0001 0.0001 0.0001 0.0002 0.0002 0.0002 0.0002 0.9021
5 0.0002 0.0004 0.0001 0.0002 0.0001 0.0002 0.0000 0.0000 0.0002 0.0002 0.0002 0.0002 0.1608 0.0002 0.0003 0.0002 0.0002 0.8363
6 0.0001 0.0004 0.0001 0.0001 0.0001 0.9968 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.0001 0.0001 0.0012
7 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0769 0.1559 0.0002 0.0002 0.0003 0.0001 0.0002 0.0002 0.0003 0.0002 0.0002 0.7642
8 0.0218 0.0002 0.0002 0.0007 0.0001 0.0003 0.0001 0.2713 0.0004 0.0002 0.3447 0.0001 0.0527 0.0001 0.0002 0.1633 0.0235 0.1200
9 0.3214 0.0003 0.0001 0.0002 0.0001 0.0002 0.0001 0.0001 0.0001 0.0002 0.0002 0.0001 0.0001 0.0002 0.0002 0.0001 0.0001 0.6762
10 0.4326 0.0003 0.0001 0.0001 0.0000 0.0001 0.0001 0.2135 0.0001 0.0001 0.0001 0.0001 0.4570 0.0002 0.0005 0.0000 0.0001 0.0000
11 0.0007 0.0004 0.0002 0.0002 0.0001 0.0002 0.0001 0.0426 0.0002 0.0002 0.0001 0.0002 0.0002 0.0001 0.0001 0.0002 0.0001 0.9541
12 0.0000 0.0004 0.0003 0.0002 0.0001 0.0002 0.0001 0.3407 0.0002 0.0001 0.0001 0.1190 0.0001 0.0001 0.0001 0.0002 0.0002 0.5379
13 0.0002 0.0004 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0002 0.0001 0.0001 0.0001 0.0002 0.0002 0.1805 0.0002 0.8164
14 0.0001 0.0003 0.0001 0.0002 0.0001 0.0002 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.9968 0.0001 0.0001 0.0001 0.0012
15 0.0001 0.0003 0.0002 0.0001 0.0001 0.0002 0.0001 0.0002 0.0001 0.0001 0.0001 0.0001 0.0001 0.0002 0.0001 0.0001 0.0000 0.9978
16 0.0002 0.0004 0.0005 0.0002 0.0001 0.0002 0.0001 0.3137 0.0002 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.3053 0.3784
17 0.0000 0.0003 0.0002 0.0001 0.0165 0.0002 0.0001 0.2493 0.0002 0.0002 0.0001 0.0001 0.0000 0.0001 0.0002 0.0002 0.0001 0.7321
