Pop Pop1 Pop2 Pop3 Pop4 Pop5 Pop6 Pop7 Pop8 Pop9 Pop10 Pop11 Pop12 Pop13 Pop14 Pop15 Pop16 Pop17 Ghost
1 0.0001 0.0016 0.0001 0.0016 0.0016 0.0001 0.0001 0.2041 0.0016 0.0005 0.0001 0.0011 0.0001 0.0017 0.0001 0.0001 0.0002 0.7852
2 0.0016 0.0001 0.0016 0.0016 0.0001 0.0001 0.0002 0.0001 0.0001 0.0016 0.0015 0.0016 0.0016 0.0016 0.0001 0.0016 0.0001 0.9848
3 0.0016 0.0016 0.0001 0.0016 0.0016 0.0001 0.0008 0.0016 0.0016 0.0001 0.0016 0.0015 0.0016 0.0016 0.0009 0.0001 0.0002 0.9818
4 0.0016 0.0016 0.0018 0.0001 0.0016 0.0016 0.0016 0.2364 0.0016 0.0016 0.0001 0.0015 0.0016 0.0016 0.0016 0.0016 0.0811 0.6614
5 0.0016 0.0016 0.0016 0.0016 0.0001 0.0016 0.0016 0.0016 0.0016 0.0002 0.0015 0.1706 0.0016 0.0016 0.0001 0.0001 0.0002 0.8112
6 0.0001 0.0001 0.0001 0.0001 0.0001 0.9744 0.0001 0.0001 0.0001 0.0016 0.0001 0.0001 0.0014 0.0001 0.0001 0.0001 0.0001 0.0212
7 0.0016 0.0001 0.0016 0.0001 0.0001 0.0001 0.5605 0.0976 0.0016 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.3359
8 0.0406 0.0017 0.0016 0.0002 0.0001 0.0016 0.1146 0.3302 0.0002 0.0016 0.0016 0.0529 0.0001 0.0001 0.0259 0.0133 0.0398 0.3738
9 0.6535 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0017 0.0001 0.0016 0.0001 0.0016 0.0016 0.0001 0.4141 0.0000
10 0.7110 0.0016 0.0001 0.0004 0.0001 0.0002 0.0001 0.5645 0.0001 0.0001 0.0001 0.4188 0.0001 0.0016 0.0001 0.0001 0.0017 0.0000
11 0.0007 0.0016 0.0016 0.0016 0.0001 0.0001 0.0010 0.6376 0.0001 0.0001 0.0993 0.0001 0.0016 0.0001 0.0001 0.0001 0.0001 0.2541
12 0.0002 0.0016 0.0001 0.0001 0.0001 0.0001 0.0016 0.0015 0.0016 0.0016 0.0001 0.0016 0.0001 0.0016 0.0398 0.0015 0.0002 0.9466
13 0.0001 0.0001 0.0001 0.0016 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.9744 0.0001 0.0001 0.0001 0.0001 0.0225
14 0.0001 0.0016 0.0016 0.0016 0.0001 0.0016 0.0009 0.0001 0.0001 0.0001 0.0008 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.9908
15 0.0001 0.0016 0.0016 0.0016 0.0016 0.0001 0.0014 0.0016 0.0016 0.0016 0.0001 0.0016 0.0016 0.0001 0.0001 0.0016 0.0003 0.9818
16 0.0016 0.0001 0.0002 0.0016 0.0001 0.0016 0.0016 0.5922 0.0001 0.0016 0.0001 0.0001 0.0001 0.0016 0.0001 0.0567 0.0001 0.3405
17 0.0016 0.0001 0.0016 0.0016 0.0184 0.0016 0.0016 0.2911 0.0016 0.0016 0.0015 0.0016 0.0049 0.0016 0.0016 0.0002 0.0528 0.6150
