PopI CIJ_1 CIJ_2 CIJ_3 CIJ_4 CIJ_5 CIJ_6 CIJ_7 CIJ_8 CIJ_9 CIJ_10 CIJ_11 CIJ_12 CIJ_13 CIJ_14
1 0.0001-0.6797 0.0001-0.8081 0.0001-0.8808 0.0001-0.6623 0.0001-0.2637 0.0216-0.9985 0.0001-0.6969 0.0001-0.5278 0.0001-0.4995 0.0001-0.3021 0.0001-0.7526 0.0001-0.6900 0.0001-0.4821 0.0001-0.6798
2 0.0001-0.3072 0.0001-0.9811 0.0001-0.5295 0.0001-0.5107 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985
3 0.0001-0.4555 0.0001-0.5465 0.0001-0.8113 0.0001-0.5041 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985
4 0.0001-0.6900 0.0001-0.5450 0.0001-0.2636 0.0001-0.4993 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985
5 0.0001-0.4992 0.0001-0.4891 0.0001-0.8768 0.0001-0.5282 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985
6 0.0001-0.4993 0.0001-0.4723 0.0001-0.8081 0.0001-0.3117 0.0001-0.5108 0.0121-0.8890 0.0330-0.7497 0.0001-0.8078 0.0001-0.4994 0.0001-0.8072 0.0001-0.4763 0.0031-0.6231 0.0001-0.6112 0.0001-0.6177
7 0.0001-0.5028 0.0001-0.4551 0.0001-0.7788 0.0001-0.4993 0.0001-0.4960 0.0001-0.5034 0.1783-0.9985 0.0001-0.4723 0.0007-0.4723 0.0001-0.6455 0.0001-0.3086 0.0001-0.8084 0.0001-0.5001 0.0001-0.6904
8 0.0001-0.5278 0.0001-0.5304 0.0001-0.7633 0.0001-0.5107 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985
9 0.0001-0.2913 0.0001-0.4265 0.0001-0.6622 0.0001-0.5001 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985
10 0.0001-0.5172 0.0001-0.5108 0.0001-0.8081 0.0001-0.5303 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985
11 0.0001-0.5514 0.0001-0.4993 0.0001-0.2360 0.0001-0.5280 0.0001-0.5001 0.0001-0.4993 0.0001-0.5278 0.0001-0.4960 0.0001-0.5706 0.0001-0.1214 0.1119-0.9985 0.0001-0.3086 0.0001-0.6733 0.0001-0.9819
12 0.0001-0.5278 0.0001-0.6909 0.0001-0.8808 0.0001-0.5278 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985
13 0.0001-0.5309 0.0001-0.3086 0.0001-0.8016 0.0001-0.4993 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985 0.0001-0.9985
14 0.0001-0.5426 0.0001-0.4427 0.0001-0.8078 0.0001-0.5001 0.0765-0.4901 0.0001-0.6894 0.0401-0.3473 0.0001-0.5278 0.0001-0.8980 0.0001-0.4715 0.0035-0.5094 0.0001-0.5428 0.0001-0.8981 0.2121-0.8907
