year,offs_site,par1_site,n_mum
2012,Palanas,Palanas,10
2013,Palanas,Palanas,10
2014,Palanas,Palanas,10
2014,Sitio Baybayon,Sitio Baybayon,10
2014,Wangag,Wangag,10
2015,Cabatoan,Cabatoan,4
2015,Wangag,Wangag,10
