"site","year","prop_habitat_sampled"
"Cabatoan",2012,0.715384615384615
"San Agustin",2012,0.798245614035088
"Sitio Lonas",2012,1
"Palanas",2012,0.8
"Poroc San Flower",2012,0.757575757575758
"Magbangon",2012,0.490647482014388
"Poroc Rose",2012,0.67948717948718
"Wangag",2012,0.488054607508532
"Cabatoan",2013,0.576923076923077
"Cabatoan",2014,0.576923076923077
"Cabatoan",2015,1
"Cabatoan",2016,0.807692307692308
"Cabatoan",2018,0.615384615384615
"Caridad Cemetery",2013,0.75
"Caridad Cemetery",2014,0.5
"Caridad Cemetery",2015,0.25
"Caridad Cemetery",2016,0.5
"Caridad Cemetery",2017,0.5
"Caridad Cemetery",2018,0.5
"Caridad Proper",2013,1
"Elementary School",2013,1
"Elementary School",2014,0.375
"Elementary School",2015,1
"Elementary School",2016,0.875
"Elementary School",2017,0.875
"Elementary School",2018,1
"Gabas",2015,0.555555555555556
"Gabas",2016,0.444444444444444
"Gabas",2017,0.666666666666667
"Haina",2013,0.058252427184466
"Haina",2014,0.135922330097087
"Haina",2015,0.456310679611651
"Haina",2016,0.0970873786407767
"Haina",2017,0.563106796116505
"Haina",2018,0.815533980582524
"Hicgop South",2013,0.666666666666667
"Hicgop South",2014,0.277777777777778
"Hicgop South",2015,0.5
"Hicgop South",2016,0.611111111111111
"Hicgop South",2017,0.833333333333333
"Hicgop South",2018,0.944444444444444
"Magbangon",2013,0.23021582733813
"Magbangon",2014,0.381294964028777
"Magbangon",2015,1
"Magbangon",2016,0.633093525179856
"Magbangon",2018,0.20863309352518
"Palanas",2013,0.564285714285714
"Palanas",2014,0.478571428571429
"Palanas",2015,0.992857142857143
"Palanas",2016,0.914285714285714
"Palanas",2017,0.871428571428571
"Palanas",2018,0.978571428571429
"Poroc Rose",2013,1
"Poroc Rose",2014,0.692307692307692
"Poroc Rose",2015,0.615384615384615
"Poroc Rose",2016,0.230769230769231
"Poroc Rose",2017,0.846153846153846
"Poroc Rose",2018,0.692307692307692
"Poroc San Flower",2013,0.818181818181818
"Poroc San Flower",2014,0.727272727272727
"Poroc San Flower",2015,1
"Poroc San Flower",2016,0.545454545454545
"Poroc San Flower",2017,0.818181818181818
"Poroc San Flower",2018,0.636363636363636
"San Agustin",2013,0.578947368421053
"San Agustin",2014,0.684210526315789
"San Agustin",2015,0.947368421052632
"San Agustin",2016,1
"San Agustin",2017,0.894736842105263
"San Agustin",2018,0.684210526315789
"Sitio Baybayon",2013,0.14176245210728
"Sitio Baybayon",2014,0.298850574712644
"Sitio Baybayon",2015,1
"Sitio Baybayon",2016,0.302681992337165
"Sitio Baybayon",2017,0.409961685823755
"Sitio Baybayon",2018,0.846743295019157
"Sitio Lonas",2013,1
"Sitio Tugas",2013,1
"Tamakin Dacot",2013,0.244897959183673
"Tamakin Dacot",2014,0.224489795918367
"Tamakin Dacot",2015,0.469387755102041
"Tamakin Dacot",2016,0.346938775510204
"Tamakin Dacot",2017,0.63265306122449
"Tamakin Dacot",2018,0.714285714285714
"Visca",2012,1
"Visca",2013,1
"Visca",2014,0.230769230769231
"Visca",2015,0.384615384615385
"Visca",2016,0.615384615384615
"Visca",2017,0.923076923076923
"Visca",2018,0.615384615384615
"Wangag",2013,0.324232081911263
"Wangag",2014,0.419795221843003
"Wangag",2015,0.716723549488055
"Wangag",2016,0.293515358361775
"Wangag",2017,0.474402730375427
"Wangag",2018,0.699658703071672
