"site","year","n_captured_fish"
"Cabatoan",2012,13
"Cabatoan",2013,13
"Cabatoan",2014,17
"Cabatoan",2015,23
"Cabatoan",2016,34
"Cabatoan",2018,13
"Caridad Cemetery",2013,5
"Caridad Cemetery",2014,4
"Caridad Cemetery",2016,3
"Caridad Cemetery",2017,4
"Caridad Proper",2013,6
"Elementary School",2013,5
"Elementary School",2014,2
"Elementary School",2015,8
"Elementary School",2016,6
"Elementary School",2017,6
"Elementary School",2018,6
"Gabas",2015,4
"Gabas",2016,6
"Gabas",2017,14
"Haina",2013,7
"Haina",2014,12
"Haina",2015,11
"Haina",2016,13
"Haina",2017,69
"Haina",2018,90
"Hicgop South",2013,12
"Hicgop South",2014,4
"Hicgop South",2015,4
"Hicgop South",2016,12
"Hicgop South",2017,12
"Hicgop South",2018,11
"Magbangon",2012,23
"Magbangon",2013,28
"Magbangon",2014,20
"Magbangon",2015,67
"Magbangon",2016,148
"Magbangon",2018,25
"Palanas",2012,39
"Palanas",2013,56
"Palanas",2014,35
"Palanas",2015,77
"Palanas",2016,95
"Palanas",2017,61
"Palanas",2018,71
"Poroc Rose",2012,11
"Poroc Rose",2013,10
"Poroc Rose",2014,3
"Poroc Rose",2016,18
"Poroc Rose",2017,6
"Poroc Rose",2018,7
"Poroc San Flower",2012,7
"Poroc San Flower",2013,6
"Poroc San Flower",2014,6
"Poroc San Flower",2016,7
"Poroc San Flower",2017,14
"San Agustin",2012,11
"San Agustin",2013,8
"San Agustin",2014,12
"San Agustin",2015,8
"San Agustin",2016,5
"San Agustin",2017,17
"San Agustin",2018,20
"Sitio Baybayon",2013,40
"Sitio Baybayon",2014,81
"Sitio Baybayon",2015,111
"Sitio Baybayon",2016,64
"Sitio Baybayon",2017,108
"Sitio Baybayon",2018,214
"Sitio Lonas",2012,1
"Sitio Lonas",2013,1
"Sitio Tugas",2013,8
"Tamakin Dacot",2013,4
"Tamakin Dacot",2014,4
"Tamakin Dacot",2015,7
"Tamakin Dacot",2016,11
"Tamakin Dacot",2017,14
"Tamakin Dacot",2018,35
"Visca",2012,21
"Visca",2013,16
"Visca",2014,3
"Visca",2015,8
"Visca",2016,10
"Visca",2017,19
"Visca",2018,21
"Wangag",2012,44
"Wangag",2013,67
"Wangag",2014,30
"Wangag",2015,84
"Wangag",2016,109
"Wangag",2017,124
"Wangag",2018,204
