"site","prop_habitat_sampled"
"Cabatoan",0.355932203389831
"Caridad Cemetery",0.318800827314452
"Caridad Proper",0.318800827314452
"Elementary School",0.318800827314452
"Gabas",0.461538461538462
"Haina",0.318800827314452
"Hicgop South",0.53125
"Magbangon",0.318800827314452
"Palanas",0.449477351916376
"Poroc Rose",0.2
"Poroc San Flower",0.3
"San Agustin",0.26
"Sitio Baybayon",0.403284671532847
"Sitio Lonas",0.318800827314452
"Sitio Tugas",0.318800827314452
"Tamakin Dacot",0.318800827314452
"Visca",0.285714285714286
"Wangag",0.164435946462715
