PopI CIJ_1 CIJ_2 CIJ_3 CIJ_4 CIJ_5 CIJ_6 CIJ_7 CIJ_8
1 0.0001-1.0000 0.0001-0.6770 0.0001-0.9674 0.0001-0.7329 0.0001-1.0000 0.0001-1.0000 0.0001-1.0000 0.0001-1.0000
2 0.0001-0.4758 0.0001-0.1535 0.0001-0.5275 0.5623-1.0000 0.0001-0.6906 0.0001-0.9719 0.0001-0.6628 0.0001-0.5447
3 0.0001-0.8015 0.0001-0.3529 0.4984-1.0000 0.0001-0.2361 0.0001-0.7192 0.0001-0.7370 0.0001-0.4268 0.0001-0.6864
4 0.0001-0.3027 0.0001-0.4267 0.0001-0.6003 0.0001-0.9479 0.0001-0.3089 0.4199-1.0000 0.0001-0.6904 0.0001-0.4909
5 0.0001-0.3129 0.0062-0.3395 0.0001-0.6177 0.0001-0.8085 0.0001-0.6976 0.0001-0.9090 0.0001-0.6068 0.0001-0.2638
6 0.0001-0.1803 0.0001-0.2399 0.0001-0.8525 0.0001-0.3778 0.0001-1.0000 0.0001-1.0000 0.0001-1.0000 0.0001-1.0000
7 0.0001-0.4718 0.0001-0.8640 0.0001-0.9525 0.0001-0.8189 0.0001-1.0000 0.0001-1.0000 0.0001-1.0000 0.0001-1.0000
8 0.0001-0.6003 0.0001-0.1737 0.0001-0.3645 0.0001-0.9645 0.0001-1.0000 0.0001-1.0000 0.0001-1.0000 0.0001-1.0000
