Pop Pop1 Pop2 Pop3 Pop4 Pop5 Pop6 Pop7 Pop8 Pop9  Ghost
1 0.0001 0.0001 0.0001 0.0016 0.0001 0.0013 0.0001 0.0001 0.0004 0.9961
2 0.0016 0.0001 0.0001 0.9917 0.0016 0.0001 0.0001 0.0000 0.0826 0.0000
3 0.0001 0.0001 0.9999 0.0016 0.0001 0.0001 0.0017 0.0000 0.0001 0.0000
4 0.0002 0.0001 0.0001 0.0001 0.0001 0.7905 0.0017 0.0001 0.0001 0.2070
5 0.0001 0.0973 0.0001 0.0005 0.0001 0.0012 0.0017 0.0001 0.2218 0.6771
6 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0017 0.0016 0.0001 0.9960
7 0.0016 0.0016 0.0012 0.0005 0.0016 0.0016 0.0001 0.0016 0.0001 0.9901
8 0.0001 0.0001 0.0009 0.0005 0.0001 0.0001 0.0001 0.0001 0.0001 0.9979
9 0.0016 0.0016 0.0001 0.0016 0.0016 0.0001 0.0001 0.0001 0.0001 0.9931
