Pop Pop1 Pop2 Pop3 Pop4 Pop5 Pop6 Pop7 Pop8 Pop9  Ghost
1 0.9872 0.0001 0.0001 0.0001 0.0015 0.0001 0.0001 0.0001 0.0017 0.0090
2 0.0001 0.9872 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.0017 0.0104
3 0.0016 0.0001 0.9999 0.0001 0.0016 0.0001 0.0001 0.0000 0.0001 0.0000
4 0.0001 0.0001 0.0001 0.0001 0.0001 0.0001 0.9980 0.0001 0.0001 0.0012
5 0.0016 0.0001 0.0016 0.0016 0.0001 0.0999 0.0016 0.0016 0.0017 0.8902
6 0.0017 0.0001 0.0001 0.9998 0.0016 0.0001 0.0001 0.0016 0.0017 0.0000
7 0.0016 0.0001 0.0001 0.0001 0.0016 0.0001 0.0001 0.0001 0.0001 0.9961
8 0.0016 0.0001 0.0001 0.0001 0.0016 0.0001 0.0001 0.9872 0.0001 0.0090
9 0.0001 0.0001 0.0001 0.0001 0.0016 0.0001 0.0001 0.0001 0.0001 0.9976
