PopI     CI_L(J=1)     CI_U(J=1)     CI_L(J=2)     CI_U(J=2)     CI_L(J=3)     CI_U(J=3)     CI_L(J=4)     CI_U(J=4)     CI_L(J=5)     CI_U(J=5)     CI_L(J=6)     CI_U(J=6)     CI_L(J=7)     CI_U(J=7)     CI_L(J=8)     CI_U(J=8)     CI_L(J=9)     CI_U(J=9)
    1        0.0001        0.4282        0.0001        0.5446        0.0001        0.5461        0.0001        0.4904        0.0001        0.2639        0.0001        0.9990        0.0001        0.9990        0.0001        0.9990        0.0001        0.9990
    2        0.0001        0.3098        0.0001        0.6503        0.0001        0.5102        0.2342        0.9940        0.0001        0.3891        0.0001        0.5102        0.0001        0.5340        0.0001        0.4823        0.0047        0.9832
    3        0.0001        0.4996        0.0001        0.5127        0.1823        1.0000        0.0001        0.5731        0.0001        0.4268        0.0001        0.5831        0.0001        0.6908        0.0001        0.3031        0.0001        0.8789
    4        0.0001        0.6726        0.0001        0.4545        0.0001        0.5421        0.0001        0.7302        0.0001        0.3882        0.0585        0.9990        0.0001        0.5837        0.0001        0.6969        0.0001        0.9539
    5        0.0001        0.4889        0.0089        0.3791        0.0001        0.6412        0.0001        0.8974        0.0001        0.3432        0.0001        0.8811        0.0001        0.9369        0.0001        0.1912        0.0526        0.4620
    6        0.0001        0.2875        0.0001        0.1974        0.0001        0.5102        0.0001        0.6175        0.0001        0.8711        0.0001        0.9990        0.0001        0.9990        0.0001        0.9990        0.0001        0.9990
    7        0.0001        0.5004        0.0001        0.5452        0.0001        0.6907        0.0001        0.8149        0.0001        0.3098        0.0001        0.9990        0.0001        0.9990        0.0001        0.9990        0.0001        0.9990
    8        0.0001        0.1182        0.0001        0.5556        0.0001        0.8084        0.0001        0.5720        0.0001        0.8011        0.0001        0.9990        0.0001        0.9990        0.0001        0.9990        0.0001        0.9990
    9        0.0001        0.3336        0.0001        0.3104        0.0001        0.4267        0.0001        0.3376        0.0001        0.3326        0.0001        0.9990        0.0001        0.9990        0.0001        0.9990        0.0001        0.8123
